date,sample_size,margin_of_error,state,joe_biden,cory_booker,pete_buttigieg,kamala_harris,beto_o_rourke,bernie_sanders,elizabeth_warren,oprah_winfrey,sherrod_brown,amy_klobuchar,deval_patrick,andrew_yang,joe_kennedy_iii
Sat Mar 23 2019 00:00:00 GMT-0700 (Pacific Daylight Time),1200,2.8,Alabama,42,9,3,12,10,13,6,0,0,0,0,0,0
Sat Mar 23 2019 00:00:00 GMT-0700 (Pacific Daylight Time),1200,2.8,Alabama,0,14,4,16,17,27,12,0,0,0,0,0,0
Mon Feb 11 2019 00:00:00 GMT-0800 (Pacific Standard Time),948,0,California,26,3,0,26,8,20,7,0,0,0,0,0,0
Mon Feb 11 2019 00:00:00 GMT-0800 (Pacific Standard Time),948,0,California,0,7,0,53,0,0,23,0,0,0,0,0,0
Sun Jul 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),354,5.2,Delaware,47,5,0,3,0,5,9,0,0,0,0,0,0
Mon Mar 04 2019 00:00:00 GMT-0800 (Pacific Standard Time),300,0,Florida,26,1,0,9,0,11,4,0,0,0,0,0,0
Thu May 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),0,0,Florida,21,3,0,4,0,11,7,17,0,0,0,0,0
Sun Mar 24 2019 00:00:00 GMT-0700 (Pacific Daylight Time),500,4.4,Iowa,25,7,6,9,6,17,8,0,0,6,0,0,0
Sun Mar 24 2019 00:00:00 GMT-0700 (Pacific Daylight Time),249,6.2,Iowa,25,6,11,10,5,24,9,0,0,2,0,0,0
Fri Mar 15 2019 00:00:00 GMT-0700 (Pacific Daylight Time),678,0,Iowa,29,4,0,5,7,15,8,0,0,6,0,0,0
Wed Mar 06 2019 00:00:00 GMT-0800 (Pacific Standard Time),401,4.9,Iowa,27,3,1,7,5,25,9,0,0,3,0,0,0
Sat Feb 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),558,3.6,Iowa,25,4,0,17,4,10,11,0,0,5,0,0,0
Sat Feb 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),260,6,Iowa,29,4,0,18,6,15,11,0,4,3,0,0,0
Mon Dec 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),1291,0,Iowa,20,4,0,7,19,20,7,0,2,5,0,0,0
Thu Dec 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),455,4.6,Iowa,32,4,0,5,11,19,8,0,1,3,0,0,0
Tue Dec 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),500,4.4,Iowa,30,6,0,7,11,13,9,0,3,10,0,0,0
Sun Sep 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),500,4.4,Iowa,37,8,0,10,0,12,16,0,0,0,0,0,0
Mon Mar 06 2017 00:00:00 GMT-0800 (Pacific Standard Time),1062,0,Iowa,0,17,0,3,0,0,0,0,0,11,0,0,0
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),655,0,Massachusetts,19,3,0,6,10,14,11,0,0,3,6,0,0
Sun Mar 10 2019 00:00:00 GMT-0800 (Pacific Standard Time),317,5.5,Michigan,40,3,0,12,2,23,11,0,0,5,0,0,0
Sat Mar 30 2019 00:00:00 GMT-0700 (Pacific Daylight Time),310,5.5,Nevada,26,0,5,9,10,23,10,0,0,0,0,3,0
Tue Feb 26 2019 00:00:00 GMT-0800 (Pacific Standard Time),240,6.3,New Hampshire,22,3,0,10,5,26,7,0,0,4,0,0,0
Fri Feb 22 2019 00:00:00 GMT-0800 (Pacific Standard Time),405,4.8,New Hampshire,25,5,0,12,5,27,9,0,0,8,0,0,0
Fri Feb 15 2019 00:00:00 GMT-0800 (Pacific Standard Time),337,6.4,New Hampshire,28,3,0,14,6,20,9,0,0,1,0,0,0
